COGID	Concept	Subgroup	Frequency
1764	BE SILENT	Pano	4
1764	DAWN	Pano	1
1764	DAY (NOT NIGHT)	Pano	7
1764	EARTH (SOIL)	Pano	1
1764	LIGHT (RADIATION)	Pano	2
2402	DARKNESS	Pano	5
2402	MORNING	Pano	1
2402	NIGHT	Pano	2
2402	TOMORROW	Pano	2
2402	YESTERDAY	Pano	2
3242	BITE	Pano	3
3242	COOK (SOMETHING)	Pano	1
3242	EAT	Pano	9
3242	FISH	Pano	1
3242	FOOD	Pano	6
3242	MEAT	Pano	1
3242	TOOTH	Pano	2
3280	BABY	Pano	1
3280	BABY	Tacana	1
3280	BOY	Pano	4
3280	BOY	Tacana	1
3280	CHILD (YOUNG HUMAN)	Pano	8
3280	CHILD (YOUNG HUMAN)	Tacana	3
3280	EGG	Pano	1
3280	FLOWER	Pano	1
3280	FRUIT	Pano	1
3280	GIRL	Pano	1
3280	GIRL	Tacana	1
3280	GIVE BIRTH	Tacana	1
3280	YOUNG	Pano	1
3280	YOUNG MAN	Pano	2
3642	BIG	Pano	2
3642	BONE	Pano	1
3642	GROW	Pano	6
3642	HARD	Pano	1
3642	INCREASE	Pano	1
3642	RIPE	Pano	1
3642	SPREAD OUT	Pano	1
4312	BE BORN	Pano	2
4312	GO	Pano	10
4312	GO OUT	Pano	4
4312	LEAVE	Pano	5
4312	MEET	Pano	1
4312	WALK	Pano	2
4351	DAWN	Pano	1
4351	DAY (NOT NIGHT)	Pano	3
4351	EGG	Pano	1
4351	MOON	Tacana	5
4351	SUN	Pano	9
4351	TOMORROW	Pano	1
4351	YEAR	Pano	3
44	DAY (NOT NIGHT)	Pano	1
44	DREAM (SOMETHING)	Pano	1
44	LIE DOWN	Pano	1
44	NEST	Pano	1
44	SLEEP	Pano	10
4931	EYELASH	Pano	1
4931	FACE	Pano	3
4931	FOREHEAD	Pano	1
4931	NOSE	Tacana	1
4931	OPEN	Pano	1
5486	BE SILENT	Pano	1
5486	FORGET	Pano	1
5486	NO	Pano	6
5486	NOT	Pano	3
5486	NOW	Pano	1
5752	BLUE	Pano	1
5752	GREEN	Pano	1
5752	NEW	Pano	1
5752	RAW	Pano	9
5752	UNRIPE	Pano	3
5939	BABY	Tacana	1
5939	BLUE	Pano	1
5939	GREEN	Pano	1
5939	NEW	Tacana	2
5939	UNRIPE	Tacana	1
5939	YOUNG	Tacana	1
5957	CLAW	Tacana	1
5957	FINGER	Pano	1
5957	HAND	Tacana	4
5957	HIT	Pano	1
5957	PALM OF HAND	Pano	1
5957	TOUCH	Pano	2
